epoch,acc,dice_coef,loss,lr,val_acc,val_dice_coef,val_loss
0,0.04529889099299908,0.044573251083493234,56.08550315856934,0.01,0.07602743252559944,0.04927148076671141,14.8349844261452
1,0.0584089595079422,0.03407656565308571,60.45720092773438,0.01,0.05489541341861089,0.03111965443800997,15.186792620906123
2,0.05439465701580048,0.030695140585303305,60.4662368774414,0.01,0.05413353139603579,0.030634959055869666,15.198183978045428
3,0.0542866051197052,0.030770843848586082,60.46895568847656,0.01,0.05413539762850161,0.030828283133882063,15.196842476173684
4,0.05428755030035973,0.030980996936559677,60.46885116577148,0.01,0.054135514354264294,0.031042659724200214,15.195401827494303
5,0.0542874875664711,0.031202250197529792,60.4689437866211,0.01,0.054135514354264294,0.03126584434950793,15.193965770580151
6,0.05428691998124122,0.031421974301338196,60.46836730957031,0.01,0.054135514354264294,0.0314765903684828,15.192669550577799
7,0.054287739545106885,0.031630586832761765,60.46773803710938,0.01,0.054135514354264294,0.03168075283368429,15.191464636060926
8,0.05428654208779335,0.031776594445109364,60.46789779663086,0.005,0.054135514354264294,0.03177209308853856,15.190942375748246
9,0.054287235885858535,0.0318721754103899,60.468243255615235,0.005,0.054135514354264294,0.03186753557788001,15.190404326827437
10,0.05428755059838295,0.03197109542787075,60.46779220581055,0.005,0.054135514354264294,0.03196329375108083,15.189876344468859
11,0.05428710922598839,0.032057025283575055,60.467137298583985,0.005,0.054135514354264294,0.03204791730752698,15.189415719774034
12,0.05428792878985405,0.03214298650622368,60.467314453125,0.005,0.054135514354264294,0.03212715850936042,15.188991475988317
13,0.054285282045602797,0.03221476949751377,60.46809860229492,0.005,0.054135514354264294,0.03220112966718497,15.188600822731301
14,0.0542874875664711,0.03227274313569069,60.467515258789064,0.0025,0.054135514354264294,0.03223587489790387,15.1884183883667
15,0.05428755074739456,0.032304100841283795,60.46721542358399,0.0025,0.054135514354264294,0.03226690560027405,15.188257464656123
16,0.05428736105561256,0.0323416768759489,60.467240447998044,0.0025,0.054135514354264294,0.03230339054156233,15.188069696779605
